strain	skewi
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4852505931
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6244762146
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4820101581
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6280186227
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4876659759
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.6012848736
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5219152703
B_erythrophleiGAS401.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6963559578
B_erythrophleiGAS401.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.6772602734
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4713612220
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4806230596
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4417605481
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4539741676
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4806230022
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4882685424
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4165288043
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4828072000
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4675492226
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4650054979
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.5077317103
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4436755689
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4421260719
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4441208364
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4307207726
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4759229841
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4681566532
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4761316773
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4802828100
B_erythrophleiMT12.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.5929300968
B_erythrophleiMT12.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4627499040
B_erythrophleiMT12.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6091977083
B_erythrophleiMT12.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.4935533976
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6018972581
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4870548511
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5953871969
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4679498688
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5820437660
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4768674364
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5854939745
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4834448486
B_erythrophleiMT12.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.5995111711
B_erythrophleiMT12.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5757038683
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.5625359578
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.5825744395
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.5713328173
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.5940357528
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.5846256980
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.5521283986
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.5483334709
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.5776548436
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.5646584447
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.5866434023
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.6132859113
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.5950637176
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.5483127406
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.5814701418
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.5925652464
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.5944557166
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.5952488114
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.5678444977
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.5764825304
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4207591407
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.2950383372
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3931874004
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2851123296
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4078463922
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2923410230
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4248251128
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2927024701
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4285563920
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3226897299
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4171885805
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3175154468
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3893668550
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3656381270
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.3824720819
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4355638051
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4040436176
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4142570008
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4355637606
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.3962085699
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.3812368534
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4021876571
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.3967049397
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.3888299169
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4082695705
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4127339413
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.3990215482
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3693311515
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.3742649953
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.3912926399
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3879657184
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4029788027
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4335827471
B_japonicumE109.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4159869769
B_japonicumE109.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4812722282
B_japonicumE109.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3492417939
B_japonicumE109.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4770601154
B_japonicumE109.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3721285254
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4811128828
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3554650987
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4824940073
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3458585362
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4629863776
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3496456016
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4859370362
B_japonicumE109.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3941489293
B_japonicumE109.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4738576593
B_japonicumE109.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4465852760
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4271822146
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4715827865
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4253027687
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4529678645
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4726569562
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4741740869
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4500333289
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4682767065
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4280423657
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4488094354
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4729200990
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4688352660
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4367885918
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4420009101
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4442458289
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4705574065
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4319053264
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4237220113
B_japonicumE109.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4635055371
B_japonicumJ5.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4213593539
B_japonicumJ5.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4822241730
B_japonicumJ5.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3529682091
B_japonicumJ5.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4793183226
B_japonicumJ5.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3632728339
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4760695855
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3638173885
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4724041715
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3488216456
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4831247712
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3713273035
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4664400889
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3918902691
B_japonicumJ5.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4521492938
B_japonicumJ5.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4352465164
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4612789355
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4711843218
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4613412166
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4736694063
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4701817548
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4806123001
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4312760608
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4511687961
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4570550933
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4752181808
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4901937577
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4869146021
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4585396935
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4636992863
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4600479126
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4641844913
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4606249552
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4540486480
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4605978845
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4008840667
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3702822295
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4339416076
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3396965329
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.3414477570
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4504642095
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.3231232191
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4499184063
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.3584638329
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4619062533
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3608347296
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4487171136
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4179481028
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3994932515
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.3493961340
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.3384552552
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.3564612280
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.3708263017
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.3384552204
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.3400790915
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.3510799870
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.3310731122
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.3615642188
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.3372781384
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.3075485568
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.3422647744
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.3641894734
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3385786181
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.3461109282
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.3358421257
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3538535328
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.3511519980
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.3381758938
B_lablabiGAS165.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3785364951
B_lablabiGAS165.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.5485208079
B_lablabiGAS165.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.5778499604
B_lablabiGAS165.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.4494388581
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.5693134831
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3930285975
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5489572392
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3769601930
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5631213818
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3964834219
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5546391636
B_lablabiGAS165.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4440024800
B_lablabiGAS165.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6241239835
B_lablabiGAS165.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5866765445
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.6204603964
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.5969978381
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.5679745206
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.5637404300
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.5912156912
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.6089164707
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.5274637769
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.5971071661
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.5674728130
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.6029317998
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.6227115175
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.6046718719
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.5975089668
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.5896987758
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.5564725666
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.5891355549
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.5901839426
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.6015531896
B_lablabiGAS165.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.5960349513
B_lablabiGAS499.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3408168485
B_lablabiGAS499.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4336639634
B_lablabiGAS499.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4398860580
B_lablabiGAS499.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3143688320
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4479133352
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3187954605
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4382409010
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2963235108
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4287854476
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2991261876
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4321636411
B_lablabiGAS499.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3356164447
B_lablabiGAS499.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4672296076
B_lablabiGAS499.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4381036060
B_lablabiGAS522.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4772606923
B_lablabiGAS522.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6171091743
B_lablabiGAS522.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6127219354
B_lablabiGAS522.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5134226162
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6080817083
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4882571359
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6154038591
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4829751805
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6153637602
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4938517134
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.6003309592
